PC_Time_s,SML_ADC_Raw,Fx,Fy,Fz,Tx,Ty,Tz
0.12869763374328613,155,-0.03056220512218204,0.1515475694044818,-0.010443564377450993,-0.21371397287585808,0.17086467257115087,-0.06402647786710432
0.3191375732421875,671,-0.02919958802333388,0.15146741545005238,-0.010323333456321068,-0.21283227945527175,0.17290859844272508,-0.06318486142927482
0.5327658653259277,1253,-0.03056220512218204,0.15174795429057722,-0.010724103193403813,-0.21355366498118916,0.17258798261950162,-0.06290432261664172
0.7465472221374512,1599,-0.029840819599319304,0.1515876463816984,-0.011004642009332866,-0.21463574327035087,0.17202690492906803,-0.06314478445604224
0.9577796459197998,2197,-0.03156412945928109,0.15170787731335564,-0.010163025561474342,-0.21423497353358414,0.1732692912439547,-0.06302455353634306
1.1633336544036865,2818,-0.028959126182313107,0.15206857010839486,-0.010924488061926984,-0.21443535840196162,0.1714257502610389,-0.06310470748280941
1.3678979873657227,3432,-0.02483119790918106,0.15146741545005238,-0.006556097925337138,-0.21467582024403012,0.1763552185478509,-0.06286424564340747
1.5745723247528076,4580,-0.024149889358825092,0.1516678003361353,-0.0032297091017236476,-0.21499643603348145,0.17799837464802837,-0.06342532326866532
1.7854986190795898,5883,-0.008119099901490446,0.1549140354950467,0.011358309397411122,-0.21688005379712663,0.18693554079463037,-0.06298447656310951
1.9794867038726807,9512,-0.006155328187738726,0.15367164919868623,0.013362158098239055,-0.21623882221789406,0.18681530985946038,-0.06282416867017299
2.18576717376709,16278,0.013762927838583412,0.15515449735899858,0.03283956755180105,-0.21772167024505798,0.20048155957322544,-0.06338524629543417
2.405880928039551,24694,0.013642696916473813,0.15587588295112778,0.03556480180883594,-0.21732090050792102,0.2015636380035592,-0.06330509234897114
2.615729331970215,37382,0.017329778530314796,0.15583580597377653,0.03853049791577491,-0.21932474919409672,0.2053308740287409,-0.060940550927877875
2.8365602493286133,46074,0.023541709522044287,0.15723850018182803,0.04562412240384569,-0.21864344064065888,0.2089778791295889,-0.0626237838039969
3.0420384407043457,61322,0.02566578915500163,0.15739880809141893,0.04734743231123616,-0.22076752024891066,0.2101401115270009,-0.06234324499134029
3.270155906677246,78219,0.0317975662190754,0.15759919297843633,0.05367959430868829,-0.2191243643254237,0.2147890411295159,-0.06354555418835736
3.4790730476379395,94047,0.03628618734800445,0.158040039729987,0.05708613716351126,-0.21936482616783282,0.21735396781565375,-0.06330509234897114
3.689310073852539,102534,0.03804957422249312,0.15691788436270734,0.06049268002414456,-0.2199259038001905,0.21995897148779647,-0.06294439958987574
3.899545192718506,116150,0.04285881115999552,0.15812019368483105,0.064740839364545,-0.2205270584063966,0.22240366724768865,-0.06150162855329896
4.109591484069824,129051,0.048269202727391755,0.15763926995584365,0.07027146191622728,-0.2201663656426594,0.2273732127450069,-0.06394632392064883
4.326000690460205,139283,0.05147536069978572,0.15940265696303255,0.07215507974554136,-0.22140875182903683,0.226731981066554,-0.06334516932220276
4.543745994567871,145907,0.052878054814267696,0.15844080950425835,0.07492039103038256,-0.22076752024891066,0.2290564459029035,-0.06346540024189623
4.76332426071167,155768,0.051315052801048595,0.158040039729987,0.07367800480044176,-0.22040682748514637,0.22909652288288804,-0.06358563116158757
4.9733288288116455,163130,0.05023297448489763,0.15824042461710666,0.07051192376667105,-0.2210881360389576,0.22653159616712162,-0.06294439958987574
5.1834282875061035,169017,0.04626535399713045,0.15880150230121204,0.06850807501392316,-0.22136867485527514,0.22665182710677623,-0.06218293709838831
5.393891334533691,172410,0.04434165921785159,0.1586011174140027,0.06658438021330337,-0.2205270584063966,0.22144181973489982,-0.06350547721512692
5.603469133377075,173104,0.03584534062959657,0.15703811529486802,0.05840867733223724,-0.21976559590522118,0.2169531980205252,-0.06366578510804728
5.813449859619141,172828,0.024904326644862994,0.15567549806438402,0.04650581584466191,-0.21788197813992644,0.20965918777619244,-0.06318486142927482
6.032112121582031,168815,0.016768700893092653,0.1550743434043429,0.03712780381065703,-0.21884382550930223,0.20420871861560405,-0.06206270617867179
6.248187065124512,159899,0.008192228453094953,0.1556354210870391,0.028831870120764908,-0.21756136235019735,0.19843763365220043,-0.06214286012514971
6.453606128692627,153611,0.0014192198626093448,0.15515449735899858,0.020095089744115203,-0.21667966892860313,0.1926665487192665,-0.06318486142927482
6.66530442237854,138359,-0.00687671371537952,0.15327087942592507,0.01348238902033607,-0.21563766761247563,0.189179851586814,-0.06306463050957635
6.872845411300659,122992,-0.008960716349874345,0.15351134128956667,0.01264077256576988,-0.2157979755072433,0.18625423216216863,-0.06254362985752479
7.091062068939209,105555,-0.00952179398200929,0.15363157222140447,0.011117847553411189,-0.2166395919548999,0.18545269259508898,-0.062383321964577666
7.300428628921509,95797,-0.011565719641119916,0.15339111035774022,0.009915538333728147,-0.2157979755072433,0.185653077486806,-0.06298447656310951
7.506822347640991,81022,-0.017016188059364966,0.15126703056400065,0.0034230685563652052,-0.21487620511243366,0.1812846868553214,-0.06462763246549061
7.716936111450195,67078,-0.019741422265298715,0.15278995569877754,0.0018199896012513176,-0.21491628208611577,0.181404917789911,-0.06358563116158757
7.933222532272339,54916,-0.020302499895676108,0.15230903197181064,-0.0004643979082847296,-0.21527697484927638,0.17823883651654032,-0.06242339893781481
8.141221523284912,45801,-0.023147965019844563,0.15178803126780005,-0.001145706463423326,-0.21463574327035087,0.1784792983851018,-0.06302455353634306
8.360278129577637,41088,-0.021504809103337928,0.1531105715168558,-0.0012659373849024415,-0.21631897616529136,0.17747737393308866,-0.06198255223219289
8.580692768096924,35256,-0.019180344634834562,0.15283003267603293,-0.0008250906727890112,-0.21499643603348145,0.17727698904278893,-0.06326501537573927
8.801241397857666,31004,-0.019821576212500785,0.15331095640319553,1.6525777788206544e-05,-0.2160785143231052,0.1786796832756075,-0.06282416867017299
9.017086029052734,29055,-0.020262422922080588,0.15246933988077957,0.0010986040717348164,-0.21547735971771562,0.1812846868553214,-0.06310470748280941
9.22435474395752,26388,-0.016254725560274286,0.15291018663054748,0.0019001435489862353,-0.21551743669140488,0.18028276240089378,-0.06294439958987574
9.435115814208984,25166,-0.01593410977113397,0.15138726149562795,0.004705531721091245,-0.21451551234931587,0.18164537965912766,-0.06278409169693824
9.641027450561523,25217,-0.006596174899094199,0.15395218803969396,0.01187931005948378,-0.21619874524419613,0.18613400122707072,-0.06310470748280941
9.861668109893799,26941,-0.00463240318440116,0.15343118733501446,0.013963312708778097,-0.21611859129680172,0.1871760026650086,-0.06294439958987574
10.07125473022461,29224,-0.004351864367916265,0.1529502636078066,0.01696908576351528,-0.21647928406009176,0.192025317061908,-0.06222301407162668
10.291170597076416,34554,0.0038639152691757528,0.15583580597377653,0.02326117070273343,-0.21744113142905697,0.19575247607548202,-0.06346540024189623
10.501585960388184,40716,0.008713229114569097,0.15403234199427893,0.029633409606429118,-0.21688005379712663,0.1995998660381953,-0.06290432261664172
10.721254587173462,45275,0.012480464669691844,0.1552747282909916,0.03480333929551624,-0.21812243998224384,0.20392817976250333,-0.06338524629543417
10.932882308959961,50392,0.020696244356205776,0.1559560369058342,0.041736655873640706,-0.21940490314156944,0.20697403017153113,-0.0626638607772326
11.141417503356934,61223,0.024062710186562815,0.15671749947579836,0.04602489214962611,-0.21932474919409672,0.20989964965156926,-0.062383321964577666
11.351581573486328,73464,0.027308945098741363,0.15659726854366823,0.04967189683970779,-0.21840297879830312,0.2132260389332597,-0.06354555418835736
11.571620464324951,86750,0.03215825898804323,0.1564369606341792,0.05355936338450514,-0.21976559590522118,0.21571081165661501,-0.06254362985752479
11.78805923461914,93797,0.03740834263161073,0.15707819227225747,0.05824836943295086,-0.2195251340627822,0.21831581532459848,-0.06270393775046805
11.994492292404175,106089,0.04129580915415855,0.15667742249842037,0.06245645179354796,-0.21984574985270483,0.22108112691783843,-0.06362570813481754
12.214508056640625,119474,0.04273858023642993,0.15824042461710666,0.06690499601327028,-0.22020644261640598,0.22376628455903352,-0.06358563116158757
12.42703628540039,131494,0.04570427635299577,0.1587614253237676,0.0670252269382719,-0.220486981432646,0.22468805509421946,-0.0626237838039969
12.644429206848145,137633,0.04782835600657149,0.15795988577514813,0.07067223166698425,-0.220486981432646,0.22625105730798356,-0.06350547721512692
12.854466438293457,147015,0.049231050118593016,0.1583205785719635,0.07267608042207509,-0.220486981432646,0.22685221200623262,-0.06350547721512692
13.064514875411987,155186,0.051555514649158946,0.15904196416590557,0.0735176968998661,-0.22004613472142268,0.22857552214321467,-0.06334516932220276
13.274651288986206,162647,0.05167574557322462,0.15916219509826968,0.07756547139375165,-0.221328597881514,0.23150114168492106,-0.06358563116158757
13.481108665466309,166856,0.057927753634416934,0.16020419651257667,0.08117239916831484,-0.22253090709457007,0.23246298920736996,-0.06322493840250716
13.691255331039429,173254,0.06353853011631375,0.15972327278278842,0.0855808664584434,-0.22273129196345737,0.2364706872277066,-0.06302455353634306
13.901312589645386,179946,0.0686283059390273,0.161085890017671,0.09211341346385739,-0.22209006038306295,0.24148030977632995,-0.06310470748280941
14.111433506011963,187309,0.07267608042207509,0.16140650583786043,0.09551995639095304,-0.22196982946175356,0.24356431276423052,-0.06346540024189623
14.31888484954834,195294,0.07660362398843912,0.16140650583786043,0.09956773093711714,-0.22433437091501926,0.2451673919887856,-0.06222301407162668
14.535027027130127,200123,0.08053116756340882,0.16100573606263657,0.10473766081793211,-0.2236931393342953,0.24953578288945152,-0.06274401472370326
14.751183032989502,209900,0.08942825610273386,0.16228819934380906,0.11491721272668799,-0.2247752176268442,0.2579118719211527,-0.06354555418835736
14.971646070480347,221553,0.09315541482904391,0.16292943098489382,0.1168809845595001,-0.22489544854826193,0.2586332575829346,-0.06342532326866532
15.187504529953003,233746,0.09463826292679145,0.162688969119448,0.11908521825249713,-0.22513591039111155,0.2587935655078521,-0.06270393775046805
15.403654098510742,241093,0.09495887873188609,0.16337027773833293,0.12092875916191202,-0.22565691105068383,0.2596351821141296,-0.061942475258953085
15.620030403137207,252024,0.09660203473398497,0.16192750654584506,0.12213106845191898,-0.22361298538671412,0.2612382613663274,-0.06334516932220276
